version,messageRealm,serviceAction,messageParams.subscriber,messageParams.calledMessageQueue,messageParams.type,messageParams.messageID,messageParams.correlationID,messageParams.transactionID,messageParams.originatingMS,messageParams.terminatingMS,serviceData.httpParams.statusCode,message_id_length,correlation_id_length,transaction_id_length,anomaly
1,internal,update_contact,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,683b49e9-4ffd-4a04-80fc-e4344dd3447a,8b89decbf24d45d380f0e08940f3c4b8,53df14e7-78d9-409f-bd7a-26d115d1551c:4d2ff4ee-3e6d-4ceb-a648-dd04830341e8,addressbookbroker,restamqpgw,400.0,36,32,36,yes
1,external,addressbook,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-cqpgf,request,97f9a089-7392-4d53-92bc-38efc03912b2,79c565e94cccc00239519f7ead893e09,cd0f71c1-cb15-458f-b2c7-7d4ea0ce459f,restamqpgw,addressbookbroker,0.0,36,32,36,no
1,internal,addressbook,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,57a15b9c-b8b2-44e4-acae-7e453f0a4a8f,79c565e94cccc00239519f7ead893e09,cd0f71c1-cb15-458f-b2c7-7d4ea0ce459f,addressbookbroker,restamqpgw,401.0,36,32,36,yes
1,internal,findall_contact,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,092bdbf2-b7b9-4622-9d55-d4c206d9e7d3,79c565e94cccc00239519f7ead893e09,cd0f71c1-cb15-458f-b2c7-7d4ea0ce459f:465a9565-663c-4d92-a4f4-1e66cab7a7ae,addressbookbroker,restamqpgw,502.0,36,32,36,yes
1,external,addressbook,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-cqpgf,request,4da68238-68af-44af-8396-c631930df214,5a92e55717a6c4d991f8aed0c4e2c8a1,e3ed770b-8861-4192-b4fc-40a6f1da0414,restamqpgw,addressbookbroker,0.0,36,32,36,no
1,internal,addressbook,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,dce233c0-77d6-4a93-9572-38768f8eb2cd,5a92e55717a6c4d991f8aed0c4e2c8a1,e3ed770b-8861-4192-b4fc-40a6f1da0414,addressbookbroker,restamqpgw,403.0,36,32,36,yes
1,internal,delete_contact,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,810d1ea9-e14c-47c8-994a-a95cb892daa1,5a92e55717a6c4d991f8aed0c4e2c8a1,e3ed770b-8861-4192-b4fc-40a6f1da0414:1ac15ee1-b427-4120-97d2-e591f859c931,addressbookbroker,restamqpgw,400.0,36,32,36,yes
1,external,addressbook,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-v5g82,request,84bbda0a-7d3d-4988-8fa0-c38f8a1a22a3,4e51d013edb23516bd458231e63463a8,363b0944-9284-458b-a1e9-3fb01fdcc9c1,restamqpgw,addressbookbroker,0.0,36,32,36,no
1,internal,addressbook,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,8a0c11aa-4748-47dd-83e8-aa6d5028b49c,4e51d013edb23516bd458231e63463a8,363b0944-9284-458b-a1e9-3fb01fdcc9c1,addressbookbroker,restamqpgw,404.0,36,32,36,yes
1,external,addressbook,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-cqpgf,request,8e6c3597-8e74-4451-b76b-1618b9843e99,47baa89e44e11d5a23584d37d04c1411,6cc8f4a9-7afb-492b-a6a2-4dfa96770d13,restamqpgw,addressbookbroker,0.0,36,32,36,no
